,summary,Sommer,Herbst,Frühling,Winter,word
glätte sommer+reifen,6.656023000424916,0.7085943221953935,-1.1352351580515259,-1.141502318247491,-0.07864122054194263,glätte sommer+reifen
setze,5.039907616074371,0.46434557722134784,-0.8571007507172074,-0.8633679109131728,0.11673946584864216,setze
sommer+reifen setz+e,5.039907616074371,0.46434557722134784,-0.8571007507172074,-0.8633679109131728,0.11673946584864216,sommer+reifen setz+e
riskiere,4.750689808938688,0.40855701281351714,-0.7980028293830841,-0.8042699895790495,0.14664449676574468,riskiere
setz+e riskier+e,4.750689808938688,0.40855701281351714,-0.7980028293830841,-0.8042699895790495,0.14664449676574468,setz+e riskier+e
riskier+e strafe,3.2535203345741293,0.19649813334007704,-0.419450588940478,-0.4257177491364434,0.15174258499972626,riskier+e strafe
Versicherungsschutz,3.234161850455051,0.10782628432640173,-0.41348280537143056,-0.41974996556739586,0.20592352249981966,Versicherungsschutz
strafe versicherung+s+schutz,3.234161850455051,0.10782628432640173,-0.41348280537143056,-0.41974996556739586,0.20592352249981966,strafe versicherung+s+schutz
riskier+e nu…,3.1555258335605596,0.27719221854806386,-0.38886814779040935,-0.39513530798637475,0.07516954574163676,riskier+e nu…
+111,3.106263657225841,0.26355583573681307,-0.3731336064914633,-0.3794007666874285,0.0772632099870289,+111
nu… +111,3.106263657225841,0.26355583573681307,-0.3731336064914633,-0.3794007666874285,0.0772632099870289,nu… +111
+111 chars,3.063451315285721,0.25183356494239933,-0.3592551601428167,-0.3655223203387821,0.07862708182728129,+111 chars
kopf deutsch+er,2.665475407494025,0.5827941625993699,-0.22009542995780534,-0.22636259015377072,-0.42252594690724277,kopf deutsch+er
YouTuber,6.312214145383148,1.094244538671351,-1.0821995086223353,-1.088466668818301,-1.2846300255717726,YouTuber
youtub+er jan,4.933647995619414,1.0089367237105262,-0.8357916719096476,-0.842058832105613,-1.0382221888590852,youtub+er jan
verstorben,4.539676452846492,0.972908836862898,-0.7525687425667822,-0.7588359027627475,-0.9549992595162196,verstorben
zimmermann verstorb+en,2.414576432802266,0.45485383137552216,-0.12123688052379998,-0.1275040407197654,-0.3236673974732375,zimmermann verstorb+en
verstorb+en der,2.414576432802266,0.45485383137552216,-0.12123688052379998,-0.1275040407197654,-0.3236673974732375,verstorb+en der
deutsch+e youtub+er,3.029528040640672,0.7128432219970535,-0.3481198441702003,-0.3543870043661657,-0.550550361119638,deutsch+e youtub+er
zimmermann bekenn+t,6.588283441549006,1.1064325610341075,-1.1250058342503375,-1.131272994446303,-1.3274363511997749,zimmermann bekenn+t
bekenn+t gewitter,4.930499052604854,1.008676270660701,-0.8351532095862185,-0.8414203697821838,-1.0375837265356558,bekenn+t gewitter
kopf laut,3.2108647161260837,0.7620382499430761,-0.40625328178176184,-0.4125204419777273,-0.6086837987311994,kopf laut
Medienberichts,3.028336303178495,0.7124917937016539,-0.3477263928117966,-0.353993553007762,-0.5501569097612342,Medienberichts
laut medienbericht+s,3.028336303178495,0.7124917937016539,-0.3477263928117966,-0.353993553007762,-0.5501569097612342,laut medienbericht+s
medienbericht+s alter,2.851773539018355,0.6555815014279394,-0.28765409407400266,-0.2939212542699679,-0.49008461102344025,medienbericht+s alter
jahr+en versterb+en,3.1449919981747074,0.745097554384127,-0.38552434479450043,-0.39179150499046567,-0.5879548617439377,jahr+en versterb+en
Jan…,2.5866803689827123,0.280599177573078,0.3630197805677742,-0.19635550194198675,-0.3925188586954587,Jan…
+1937,2.304888218539104,0.38335402005233604,-0.07474517900778355,-0.08101233920374887,-0.27717569595722086,+1937
jan… +1937,2.304888218539104,0.38335402005233604,-0.07474517900778355,-0.08101233920374887,-0.27717569595722086,jan… +1937
+1937 chars,2.2947291365823563,0.37610464375284275,-0.07032781221745509,-0.07659497241342045,-0.27275832916689247,+1937 chars
